,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
64,64,Singapore,SG,Total,24 - Environmental technology,5.0,5.0,15.0,6.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,
65,65,Slovakia,SK,Total,24 - Environmental technology,,,,,6.0,10.0,11.0,7.0,25.0,27.0,18.0,27.0,14.0,15.0,12.0,14.0,8.0,8.0,10.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0
66,66,Slovenia,SI,Total,24 - Environmental technology,,,,6.0,14.0,4.0,16.0,14.0,10.0,8.0,9.0,7.0,10.0,8.0,9.0,2.0,7.0,4.0,9.0,3.0,4.0,7.0,10.0,9.0,7.0,12.0,4.0
67,67,South Africa,ZA,Total,24 - Environmental technology,84.0,88.0,104.0,110.0,68.0,70.0,116.0,103.0,101.0,96.0,49.0,53.0,64.0,88.0,79.0,60.0,73.0,67.0,125.0,81.0,120.0,48.0,113.0,90.0,75.0,17.0,
68,68,Soviet Union,SU,Total,24 - Environmental technology,1057.0,1207.0,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,Spain,ES,Total,24 - Environmental technology,49.0,47.0,37.0,19.0,25.0,22.0,30.0,26.0,49.0,48.0,50.0,52.0,29.0,43.0,57.0,59.0,52.0,65.0,63.0,67.0,72.0,79.0,56.0,72.0,78.0,58.0,74.0
70,70,Sweden,SE,Total,24 - Environmental technology,,1.0,,,28.0,34.0,42.0,55.0,62.0,55.0,41.0,46.0,54.0,55.0,70.0,40.0,36.0,23.0,27.0,18.0,35.0,29.0,52.0,36.0,25.0,31.0,44.0
71,71,Switzerland,CH,Total,24 - Environmental technology,56.0,64.0,28.0,35.0,27.0,28.0,24.0,21.0,15.0,11.0,11.0,20.0,14.0,5.0,9.0,13.0,10.0,7.0,12.0,15.0,12.0,8.0,8.0,4.0,8.0,16.0,6.0
72,72,Tajikistan,TJ,Total,24 - Environmental technology,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,
73,73,Turkey,TR,Total,24 - Environmental technology,7.0,11.0,10.0,17.0,12.0,30.0,15.0,7.0,,,,,,,,,,,,,,,,,,,
74,74,Ukraine,UA,Total,24 - Environmental technology,,,1.0,,,,,,,1.0,5.0,15.0,32.0,68.0,150.0,41.0,44.0,86.0,90.0,89.0,78.0,115.0,68.0,92.0,56.0,55.0,54.0
75,75,United Kingdom,GB,Total,24 - Environmental technology,129.0,101.0,109.0,75.0,104.0,121.0,92.0,99.0,124.0,94.0,85.0,79.0,92.0,91.0,108.0,113.0,85.0,59.0,47.0,54.0,70.0,94.0,86.0,81.0,65.0,79.0,88.0
76,76,United States of America,US,Total,24 - Environmental technology,1169.0,1231.0,1359.0,1411.0,1337.0,1371.0,1393.0,1407.0,1754.0,1711.0,1692.0,1741.0,1662.0,1596.0,1473.0,1307.0,1433.0,1383.0,1478.0,1575.0,2087.0,1912.0,2138.0,2418.0,2577.0,2558.0,2486.0
77,77,Upper middle-income,W2,Total,24 - Environmental technology,171.0,157.0,1585.0,1187.0,763.0,960.0,814.0,1088.0,800.0,695.0,695.0,637.0,943.0,1276.0,1466.0,1482.0,1738.0,1819.0,2127.0,2732.0,2763.0,4152.0,5625.0,6085.0,6231.0,8563.0,10060.0
78,78,World,WD,Total,24 - Environmental technology,5748.0,6049.0,6465.0,6184.0,6212.0,6434.0,5801.0,6446.0,7040.0,7728.0,6693.0,6816.0,7593.0,8357.0,8697.0,9201.0,10245.0,10702.0,10199.0,10535.0,11973.0,13902.0,16210.0,17229.0,17008.0,18374.0,20805.0
79,79,Yugoslavia,YU,Total,24 - Environmental technology,15.0,10.0,32.0,17.0,6.0,10.0,1.0,2.0,3.0,2.0,,,,1.0,1.0,,2.0,3.0,4.0,5.0,3.0,2.0,3.0,,,,
80,80,Zambia,ZM,Total,24 - Environmental technology,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
81,81,Zimbabwe,ZW,Total,24 - Environmental technology,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
